SNo,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed
4135,2020-09-07T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,1,0,1,33,34,0,1069,146,1249,18111
4136,2020-09-07T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,85,13,98,2845,2943,69,18940,2130,24013,645256
4137,2020-09-08T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,34,2,36,487,523,14,2924,472,3919,108691
4138,2020-09-08T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,4,1,5,120,125,8,420,28,573,59819
4139,2020-09-08T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,29,1,30,326,356,8,1194,98,1648,165632
4140,2020-09-08T17:00:00,ITA,15,Campania,40.83956555,14.25084984,220,9,229,3186,3415,249,4514,448,8377,277421
4141,2020-09-08T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,130,16,146,3386,3532,94,24857,4465,32854,572945
4142,2020-09-08T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,18,4,22,451,473,12,3124,349,3946,159635
4143,2020-09-08T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,354,9,363,3761,4124,129,7334,881,12339,554654
4144,2020-09-08T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,85,11,96,764,860,64,8977,1578,11415,137135
4145,2020-09-08T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,248,27,275,7946,8221,271,76976,16888,102085,1073431
4146,2020-09-08T17:00:00,ITA,11,Marche,43.61675973,13.5188753,16,1,17,380,397,15,5999,988,7384,128178
4147,2020-09-08T17:00:00,ITA,14,Molise,41.55774754,14.65916051,5,0,5,83,88,3,437,23,548,34263
4148,2020-09-08T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,0,8,210,218,4,2497,292,3007,76699
4149,2020-09-08T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,6,0,6,311,317,3,4630,405,5352,86431
4150,2020-09-08T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,104,9,113,1656,1769,42,27414,4152,33335,380476
4151,2020-09-08T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,163,7,170,1151,1321,143,4154,567,6042,236175
4152,2020-09-08T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,48,10,58,1135,1193,51,1286,136,2615,127300
4153,2020-09-08T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,104,13,117,1337,1454,84,3106,289,4849,287589
4154,2020-09-08T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,74,9,83,1996,2079,59,9334,1145,12558,399495
4155,2020-09-08T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,15,2,17,354,371,7,1483,81,1935,102837
4156,2020-09-08T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,2,0,2,37,39,5,1069,146,1254,18188
4157,2020-09-08T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,93,12,105,2809,2914,105,19072,2132,24118,649669
4158,2020-09-09T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,35,2,37,469,506,5,2943,472,3921,109697
4159,2020-09-09T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,4,1,5,133,138,14,421,28,587,60500
4160,2020-09-09T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,27,2,29,333,362,19,1207,98,1667,167110
4161,2020-09-09T17:00:00,ITA,15,Campania,40.83956555,14.25084984,226,10,236,3358,3594,203,4537,449,8580,283355
4162,2020-09-09T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,140,16,156,3398,3554,110,24942,4467,32963,578121
4163,2020-09-09T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,17,3,20,491,511,54,3140,349,4000,161026
4164,2020-09-09T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,358,9,367,3903,4270,175,7363,881,12514,563118
4165,2020-09-09T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,87,11,98,809,907,51,8980,1579,11466,138436
4166,2020-09-09T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,252,27,279,8045,8324,218,77088,16891,102303,1087646
4167,2020-09-09T17:00:00,ITA,11,Marche,43.61675973,13.5188753,14,2,16,394,410,19,6005,988,7403,129006
4168,2020-09-09T17:00:00,ITA,14,Molise,41.55774754,14.65916051,4,0,4,88,92,4,437,23,552,34699
